"Sample","Group"
"18G-10R","Control"
"19G-13R","Control"
"20R-46G","Control"
"21G-44R","Control"
"22R-3G","Control"
"23G-35R","Control"
"24G-17R","Control"
"25R-2G","Control"
"26R-11G","Control"
"28R-34G","Control"
"29R-9G","Control"
"30R-12G","Control"
"31G-60R","Control"
"32R-57G","Control"
"36G-45R","Control"
"37R-6G","Control"
"38R-14G","Control"
"39R-33G","Control"
"40R-8G","Control"
"41R-1G","Control"
"42G-7R","Control"
"47G-53R","Control"
"49G-16R","Control"
"50G-5R","Control"
"51G-15R","Control"
"54G-43R","Control"
"55G-59R","Control"
"56R-58G","Control"
"18G-10R","Control"
"19G-13R","Control"
"20R-46G","Control"
"21G-44R","Control"
"22R-3G","Control"
"23G-35R","Control"
"24G-17R","Control"
"25R-2G","Control"
"26R-11G","Control"
"28R-34G","Control"
"29R-9G","Control"
"30R-12G","Control"
"31G-60R","Control"
"32R-57G","Control"
"36G-45R","Control"
"37R-6G","Control"
"38R-14G","Control"
"39R-33G","Control"
"40R-8G","Control"
"41R-1G","Control"
"42G-7R","Control"
"47G-53R","Control"
"49G-16R","Control"
"50G-5R","Control"
"51G-15R","Control"
"54G-43R","Control"
"55G-59R","Control"
"56R-58G","Control"
